aarp,whois.nic.aarp
gr.com,whois.centralnic.com
hk.com,whois.registry.hk.com
hu.com,whois.centralnic.com
jpn.com,whois.centralnic.com
kr.com,whois.centralnic.com
no.com,whois.centralnic.com
qc.com,whois.centralnic.com
ru.com,whois.centralnic.com
sa.com,whois.centralnic.com
se.com,whois.centralnic.com
uk.com,whois.centralnic.com
us.com,whois.centralnic.com
uy.com,whois.centralnic.com
za.com,whois.centralnic.com
comcast,whois.nic.comcast
commbank,whois.nic.commbank
community,whois.nic.community
company,whois.nic.company
compare,whois.nic.compare
computer,whois.nic.computer
comsec,whois.nic.comsec
condos,whois.nic.condos
construction,whois.nic.construction
consulting,whois.nic.consulting
contact,whois.nic.contact
contractors,whois.nic.contractors
cooking,whois.nic.cooking
cookingchannel,whois.nic.cookingchannel
cool,whois.nic.cool
coop,whois.nic.coop
corsica,whois-corsica.nic.fr
country,whois.uniregistry.net
coupon,whois.nic.coupon
coupons,whois.nic.coupons
courses,whois.aridnrs.net.au
cr,whois.nic.cr
credit,whois.nic.credit
creditcard,whois.nic.creditcard
creditunion,whois.afilias-srs.net
cricket,whois.nic.cricket
cruise,whois.nic.cruise
cruises,whois.nic.cruises
csc,whois.nic.csc
cuisinella,whois.nic.cuisinella
cx,whois.nic.cx
cymru,whois.nic.cymru
cyou,whois.nic.cyou
cz,whois.nic.cz
dabur,whois.afilias-srs.net
dad,whois.nic.google
dance,whois.nic.dance
data,whois.nic.data
date,whois.nic.date
dating,whois.nic.dating
datsun,whois.nic.gmo
day,whois.nic.google
dclk,whois.nic.google
dds,whois.nic.dds
de,whois.denic.de
com.de,whois.centralnic.com
deal,whois.nic.deal
deals,whois.nic.deals
degree,whois.nic.degree
delivery,whois.nic.delivery
deloitte,whois.nic.deloitte
delta,whois.nic.delta
democrat,whois.nic.democrat
dental,whois.nic.dental
dentist,whois.nic.dentist
desi,whois.nic.desi
design,whois.nic.design
dev,whois.nic.google
diamonds,whois.nic.diamonds
diet,whois.uniregistry.net
digital,whois.nic.digital
direct,whois.nic.direct
directory,whois.nic.directory
discount,whois.nic.discount
dish,whois.nic.dish
diy,whois.nic.diy
dk,whois.dk-hostmaster.dk
dm,whois.nic.dm
docs,whois.nic.google
doctor,whois.nic.doctor
dog,whois.nic.dog
domains,whois.nic.domains
doosan,whois.nic.xn--cg4bki
dot,whois.nic.dot
download,whois.nic.download
drive,whois.nic.google
dtv,whois.nic.dtv
dubai,whois.nic.dubai
duck,whois.nic.duck
dunlop,whois.nic.dunlop
durban,durban-whois.registry.net.za
dvag,whois.nic.dvag
dvr,whois.afilias-srs.net
dz,whois.nic.dz
eat,whois.nic.google
ec,whois.nic.ec
eco,whois.nic.eco
edeka,whois.afilias-srs.net
edu,whois.educause.edu
education,whois.nic.education
ee,whois.tld.ee
email,whois.nic.email
emerck,whois.afilias-srs.net
energy,whois.nic.energy
engineer,whois.nic.engineer
engineering,whois.nic.engineering
enterprises,whois.nic.enterprises
epson,whois.aridnrs.net.au
equipment,whois.nic.equipment
ericsson,whois.nic.ericsson
erni,whois.nic.erni
es,whois.nic.es
esq,whois.nic.google
estate,whois.nic.estate
esurance,whois.afilias-srs.net
etisalat,whois.centralnic.com
eu,whois.eu
eurovision,whois.nic.eurovision
eus,whois.nic.eus
events,whois.nic.events
exchange,whois.nic.exchange
expert,whois.nic.expert
exposed,whois.nic.exposed
express,whois.nic.express
extraspace,whois.afilias-srs.net
fage,whois.afilias-srs.net
fail,whois.nic.fail
fairwinds,whois.nic.fairwinds
faith,whois.nic.faith
family,whois.nic.family
fan,whois.nic.fan
fans,whois.nic.fans
farm,whois.nic.farm
fashion,whois.nic.fashion
fast,whois.nic.fast
fedex,whois.nic.fedex
feedback,whois.nic.feedback
ferrari,whois.nic.ferrari
fi,whois.fi
fiat,whois.afilias-srs.net
fidelity,whois.nic.fidelity
fido,whois.afilias-srs.net
film,whois.nic.film
final,whois.gtlds.nic.br
finance,whois.nic.finance
financial,whois.nic.financial
fire,whois.nic.fire
firestone,whois.nic.firestone
firmdale,whois.nic.firmdale
fish,whois.nic.fish
fishing,whois.nic.fishing
fit,whois.nic.fit
fitness,whois.nic.fitness
fj,whois.usp.ac.fj
flights,whois.nic.flights
florist,whois.nic.florist
flowers,whois.uniregistry.net
fly,whois.nic.google
fm,whois.nic.fm
fo,whois.nic.fo
foo,whois.nic.google
foodnetwork,whois.nic.foodnetwork
football,whois.nic.football
forex,whois.nic.forex
forsale,whois.nic.forsale
forum,whois.nic.forum
foundation,whois.nic.foundation
fox,whois.nic.fox
fr,whois.nic.fr
aeroport.fr,whois.smallregistry.net
avocat.fr,whois.smallregistry.net
chambagri.fr,whois.smallregistry.net
chirurgiens-dentistes.fr,whois.smallregistry.net
experts-comptables.fr,whois.smallregistry.net
geometre-expert.fr,whois.smallregistry.net
medecin.fr,whois.smallregistry.net
notaires.fr,whois.smallregistry.net
pharmacien.fr,whois.smallregistry.net
port.fr,whois.smallregistry.net
veterinaire.fr,whois.smallregistry.net
free,whois.nic.free
fresenius,whois.nic.fresenius
frl,whois.nic.frl
frogans,whois.nic.frogans
frontdoor,whois.nic.frontdoor
fujitsu,whois.nic.gmo
fujixerox,whois.nic.fujixerox
fun,whois.nic.fun
fund,whois.nic.fund
furniture,whois.nic.furniture
futbol,whois.nic.futbol
fyi,whois.nic.fyi
ga,whois.dot.ga
gal,whois.nic.gal
gallery,whois.nic.gallery
gallo,whois.nic.gallo
gallup,whois.nic.gallup
game,whois.uniregistry.net
games,whois.nic.games
garden,whois.nic.garden
gbiz,whois.nic.google
gd,whois.nic.gd
gdn,whois.nic.gdn
ge,whois.registration.ge
gea,whois.afilias-srs.net
gent,whois.nic.gent
genting,whois.nic.genting
george,whois.nic.george
gf,whois.mediaserv.net
gg,whois.gg
ggee,whois.nic.ggee
gi,whois.afilias-grs.info
gift,whois.uniregistry.net
gifts,whois.nic.gifts
gives,whois.nic.gives
giving,whois.nic.giving
gl,whois.nic.gl
glade,whois.nic.glade
glass,whois.nic.glass
gle,whois.nic.google
global,whois.nic.global
globo,whois.gtlds.nic.br
gmail,whois.nic.google
gmbh,whois.nic.gmbh
gmx,whois-fe1.gmx.tango.knipp.de
godaddy,whois.afilias-srs.net
gold,whois.nic.gold
goldpoint,whois.nic.goldpoint
golf,whois.nic.golf
goo,whois.nic.gmo
goodyear,whois.nic.goodyear
goog,whois.nic.google
google,whois.nic.google
gop,whois.nic.gop
got,whois.nic.got
gov,whois.dotgov.gov
gq,whois.dominio.gq
graphics,whois.nic.graphics
gratis,whois.nic.gratis
green,whois.afilias.net
gripe,whois.nic.gripe
group,whois.nic.group
gs,whois.nic.gs
guge,whois.nic.google
guide,whois.nic.guide
guitars,whois.uniregistry.net
guru,whois.nic.guru
gy,whois.registry.gy
hamburg,whois.nic.hamburg
hangout,whois.nic.google
haus,whois.nic.haus
hdfc,whois.nic.hdfc
hdfcbank,whois.nic.hdfcbank
healthcare,whois.nic.healthcare
help,whois.uniregistry.net
helsinki,whois.nic.helsinki
here,whois.nic.google
hermes,whois.afilias-srs.net
hgtv,whois.nic.hgtv
hiphop,whois.uniregistry.net
hisamitsu,whois.nic.gmo
hitachi,whois.nic.gmo
hiv,whois.uniregistry.net
hk,whois.hkirc.hk
inc.hk,whois.registry.hk.com
ltd.hk,whois.registry.hk.com
hkt,whois.nic.hkt
hm,whois.registry.hm
hn,whois.nic.hn
hockey,whois.nic.hockey
holdings,whois.nic.holdings
holiday,whois.nic.holiday
homedepot,whois.nic.homedepot
homes,whois.afilias-srs.net
honda,whois.nic.honda
horse,whois.nic.horse
hospital,whois.nic.hospital
host,whois.nic.host
hosting,whois.uniregistry.net
hot,whois.nic.hot
house,whois.nic.house
how,whois.nic.google
hr,whois.dns.hr
ht,whois.nic.ht
hu,whois.nic.hu
hughes,whois.nic.hughes
hyundai,whois.nic.hyundai
ibm,whois.nic.ibm
icbc,whois.nic.icbc
ice,whois.nic.ice
icu,whois.nic.icu
id,whois.id
ie,whois.iedr.ie
ifm,whois.nic.ifm
ikano,whois.ikano.tld-box.at
il,whois.isoc.org.il
im,whois.nic.im
imamat,whois.afilias-srs.net
imdb,whois.nic.imdb
immo,whois.nic.immo
immobilien,whois.nic.immobilien
in,whois.registry.in
inc,whois.nic.inc
industries,whois.nic.industries
infiniti,whois.nic.gmo
info,whois.afilias.net
ing,whois.nic.google
ink,whois.nic.ink
institute,whois.nic.institute
insurance,whois.nic.insurance
insure,whois.nic.insure
int,whois.iana.org
international,whois.nic.international
investments,whois.nic.investments
io,whois.nic.io
iq,whois.cmc.iq
ir,whois.nic.ir
irish,whois.nic.irish
is,whois.isnic.is
ismaili,whois.afilias-srs.net
ist,whois.afilias-srs.net
istanbul,whois.afilias-srs.net
it,whois.nic.it
